chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
.\src\test\java\org\jfree\data\time\TimeSeriesCollectionTest.java, TimeSeriesCollectionTest, 292, 69, 0.2363013698630137, 14, 0.01687866927592955
.\src\test\java\org\jfree\data\time\TimeSeriesDataItemTest.java, TimeSeriesDataItemTest, 24, 14, 0.5833333333333334, 3, 0.19444444444444445
.\src\test\java\org\jfree\data\time\TimeSeriesTest.java, TimeSeriesTest, 722, 186, 0.25761772853185594, 58, 0.004441684974687172
.\src\test\java\org\jfree\data\time\TimeTableXYDatasetTest.java, TimeTableXYDatasetTest, 77, 23, 0.2987012987012987, 7, 0.04267161410018553
.\src\test\java\org\jfree\data\time\WeekTest.java, WeekTest, 406, 148, 0.3645320197044335, 51, 0.007147686660871245
.\src\test\java\org\jfree\data\time\YearTest.java, YearTest, 298, 102, 0.3422818791946309, 41, 0.008348338516942217
.\src\test\java\org\jfree\data\xy\CategoryTableXYDatasetTest.java, CategoryTableXYDatasetTest, 95, 26, 0.2736842105263158, 6, 0.0456140350877193
.\src\test\java\org\jfree\data\xy\DefaultHighLowDatasetTest.java, DefaultHighLowDatasetTest, 56, 15, 0.26785714285714285, 4, 0.06696428571428571
.\src\test\java\org\jfree\data\xy\DefaultIntervalXYDatasetTest.java, DefaultIntervalXYDatasetTest, 204, 65, 0.31862745098039214, 21, 0.015172735760971053
.\src\test\java\org\jfree\data\xy\DefaultOHLCDatasetTest.java, DefaultOHLCDatasetTest, 61, 22, 0.36065573770491804, 6, 0.06010928961748634
.\src\test\java\org\jfree\data\xy\DefaultTableXYDatasetTest.java, DefaultTableXYDatasetTest, 103, 25, 0.24271844660194175, 8, 0.03033980582524272
.\src\test\java\org\jfree\data\xy\DefaultWindDatasetTest.java, DefaultWindDatasetTest, 84, 41, 0.4880952380952381, 10, 0.04880952380952381
.\src\test\java\org\jfree\data\xy\DefaultXYDatasetTest.java, DefaultXYDatasetTest, 114, 37, 0.32456140350877194, 11, 0.029505582137161087
.\src\test\java\org\jfree\data\xy\DefaultXYZDatasetTest.java, DefaultXYZDatasetTest, 120, 37, 0.30833333333333335, 11, 0.02803030303030303
.\src\test\java\org\jfree\data\xy\IntervalXYDelegateTest.java, IntervalXYDelegateTest, 51, 12, 0.23529411764705882, 3, 0.0784313725490196
.\src\test\java\org\jfree\data\xy\MatrixSeriesCollectionTest.java, MatrixSeriesCollectionTest, 46, 16, 0.34782608695652173, 4, 0.08695652173913043
.\src\test\java\org\jfree\data\xy\MatrixSeriesTest.java, MatrixSeriesTest, 83, 21, 0.25301204819277107, 6, 0.04216867469879518
.\src\test\java\org\jfree\data\xy\OHLCDataItemTest.java, OHLCDataItemTest, 20, 12, 0.6, 3, 0.19999999999999998
